Feature,XGB_Importance,LGB_Importance,CAT_Importance,Mean_Importance
F_14,0.016486408,297,5.432873657201627,100.8164533551302
F_9,0.0109971985,206,4.1584256877592995,70.05647429542712
F_4,0.48812976,171,37.720016468200654,69.73604874433198
F_25,0.009500816,193,4.109604384798378,65.70636840042094
F_11,0.010280283,185,3.150387248971516,62.720222510713164
F_3,0.01144498,183,3.5595817896019315,62.19034225662685
F_26,0.011056392,168,3.102461305300096,57.03783923258457
F_24,0.011261492,164,2.2904930329892137,55.4339181750085
F_27,0.011571454,157,2.4518090284442233,53.15446016077615
F_12,0.01262864,141,2.6080052480738645,47.87354462937402
F_2,0.012749897,132,2.6335774801434195,44.882109125819845
F_19,0.0128872115,132,1.9505249593227203,44.654470723613066
F_5,0.011666057,128,1.7215454188609214,43.24440382518699
F_6,0.010172803,125,2.8068046692743343,42.60565915740975
F_8,0.010454712,124,1.3441376240274465,41.784864112154345
F_13,0.013422046,99,1.8535930552783393,33.62233836704502
F_1,0.021310622,92,2.2831717571472923,31.434827459673276
F_10,0.12536903,72,2.695857318778318,24.94040878201176
F_20,0.009314087,43,1.4315887567565997,14.813634281325378
F_18,0.0117025785,41,1.7482857740540034,14.253329450856272
F_16,0.10379139,31,2.3876335510291957,11.16380831478961
F_7,0.009779458,30,0.9210349998607362,10.310271485931645
F_23,0.0,25,0.8060200835907131,8.602006694530237
F_22,0.01422596,22,1.696026387803974,7.9034174491939355
F_17,0.010070474,22,0.5179507200357727,7.509340397974267
F_15,0.02972625,17,1.7116393333811095,6.247121861159422
F_21,0.0,0,2.9069502593143044,0.9689834197714348
F_0,0.0,0,0.0,0.0
